@relation dataset1-weka.filters.unsupervised.instance.RemovePercentage-P20.0

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute y numeric

@data
-2.1893,0.80929,-2.3183,-10.922
1.0092,-1.4999,-1.1763,-4.8533
-2.0676,2.2999,-1.5467,-0.73659
0.58394,0.82553,-0.2535,7.7864
-1.6311,0.2065,1.3433,6.649
0.75701,1.8448,0.63968,16.849
-0.006518,0.28524,-0.9265,0.4889
-1.0774,-2.393,-1.0398,-14.003
1.6528,-0.086597,-2.1088,-1.932
1.5918,1.5399,-1.6403,6.7337
2.1908,1.18,1.1064,20.825
-2.4984,0.36152,-2.0528,-12.313
0.70195,-2.4551,2.0891,6.7308
-2.4632,1.0914,-0.35162,-0.78213
-1.9679,-0.25287,-2.1014,-13.422
-1.966,0.79808,0.36072,3.0979
-0.66445,1.266,1.6589,15.365
-1.302,1.5237,-0.76316,2.3731
-0.7693,-2.3542,1.3994,-0.72756
-1.2519,1.3991,1.0417,11.049
-0.56468,0.33675,0.45471,5.9265
-0.39481,-2.1194,-0.61503,-8.7372
0.70039,-1.2419,-0.53087,-1.5208
1.4378,-1.8327,-0.35846,-0.80989
-1.15,0.32237,-0.38487,-0.084965
1.7199,0.20491,-1.4054,2.9525
1.2023,-2.1554,-0.016177,-1.0954
1.6305,2.4422,-2.3007,7.1569
-1.589,-1.2445,0.32408,-4.1248
-2.1728,-0.92264,-2.2543,-17.48
0.55175,-0.99672,1.8614,10.975
1.0078,-2.2898,1.8001,6.8647
-1.9419,0.13951,-0.80871,-5.3113
-2.0209,-1.2199,2.3702,4.9086
0.48917,-0.45645,2.2739,15.011
1.5612,2.2376,2.4431,29.849
1.5729,2.0964,-1.7114,8.5472
-2.0528,-1.8938,-2.4854,-22.161
1.1564,0.45972,-1.2591,3.0126
2.0193,-0.70174,-0.76855,3.4081
-0.23884,1.0965,-1.3333,1.0031
-2.1466,0.11776,1.2795,4.4286
-1.2936,-1.1958,-1.3704,-11.516
1.1593,-0.034603,-0.25778,6.0506
-2.2975,1.7792,-1.2028,-1.7898
-0.37739,1.122,-0.77103,3.5008
0.20108,-1.5044,2.0148,8.6593
2.2691,-1.7136,-2.4365,-8.2293
-1.4555,-0.64762,-1.8389,-12.151
-1.9183,1.8114,-0.55969,2.692
0.7311,0.92381,1.7031,18.404
-1.9579,0.67099,-1.4337,-6.3582
2.4175,-1.7934,2.1762,14.96
-1.2583,-2.1035,2.349,3.5562
0.53178,1.8807,-0.62371,9.9997
1.5835,-0.39786,2.4243,19.281
1.6503,-0.061682,-1.8896,-0.74377
-0.054803,-0.19837,1.3048,9.566
1.3036,0.078386,0.39681,10.209
2.0755,-1.14,0.60578,8.6954
2.0049,-1.3421,-0.050479,4.3938
-1.4288,1.9977,-1.3977,0.7155
0.23531,2.0435,-1.7793,3.9832
1.4235,0.51821,0.67588,13.723
-1.5278,-0.67382,1.5121,4.2817
1.2344,0.49295,0.84822,13.916
-0.12221,0.84244,-0.14199,6.2932
0.41629,1.9728,2.2224,24.252
-1.1973,-2.0633,0.4574,-5.558
-2.0759,0.19505,-1.3663,-8.2788
-1.0093,-0.35775,0.91922,4.1371
2.0856,0.58577,-0.89679,8.1161
-0.14741,0.29438,1.2446,10.958
-1.1527,-1.3707,2.4907,7.5126
1.3149,-1.9774,-1.1513,-5.7217
1.3609,-2.4501,2.1593,9.0789
-2.3935,-2.2042,0.98194,-7.0878
1.8999,-0.88674,-2.0237,-3.9657
1.4909,1.3974,-1.2706,7.7089
-0.87917,-0.82261,2.1733,8.9385
0.84522,0.59784,-0.10108,8.4216
-1.0185,2.4644,1.9126,20.365
2.1498,0.74003,1.3965,20.392
-1.0902,0.19888,-2.4086,-10.518
-1.6556,-1.3387,1.3538,0.44734
1.2258,1.1992,0.92899,17.119
-0.11433,1.945,1.8383,20.629
0.76722,1.799,0.40255,15.511
2.3329,0.4853,0.63052,16.092
-0.93486,0.77376,-1.9443,-5.4309
-2.1178,2.0751,-1.4315,-1.2108
1.4571,-0.33408,-2.3182,-4.5559
-0.67308,-1.0512,-0.27728,-3.6104
0.4255,0.65941,-0.8671,3.5787
-1.5833,-1.0229,-1.0635,-10.159
-2.1154,0.61014,-0.01774,0.00566
-1.7317,-2.2623,-1.5915,-18.202
1.6344,2.473,2.169,29.64
-0.99522,-1.4662,2.2009,6.1542
-0.58058,0.53682,0.45732,6.6921
0.75374,-0.76185,-2.496,-9.2659
1.5869,1.0887,2.015,23.19
1.3313,-2.36,0.91446,3.1262
-0.62912,-2.1658,-2.1307,-17.204
-1.5507,2.1353,2.4819,20.299
0.73251,-2.0611,-0.92772,-6.6856
-2.482,-0.83801,1.5461,0.93255
-1.0856,0.1309,-0.19275,0.3032
0.693,-1.2668,0.43571,3.1904
0.46037,0.2145,-0.11202,5.679
-0.87355,1.4043,0.26227,8.308
2.4448,0.10941,-1.6234,3.6548
-1.8838,2.1597,0.43622,9.1687
1.1794,-1.7644,-1.726,-8.1496
-1.7169,-0.41617,-0.27274,-4.1791
-0.32676,-1.0985,0.18811,-0.4339
1.6612,0.4905,-0.1905,9.9932
-0.70045,-2.3176,1.6705,0.98088
-2.1188,-2.1816,2.4809,1.3216
0.28463,-0.88559,2.3612,13.118
-1.1303,-2.0081,1.2296,-1.2752
-1.8397,-1.6498,-1.5002,-15.619
0.99827,-0.64418,-2.3184,-7.1737
-0.070475,-2.3012,-1.557,-13.201
-1.5864,1.0462,0.38774,5.3642
-1.9939,0.70671,0.64136,4.0519
-1.4921,-1.6297,-0.67613,-10.376
-1.8263,-2.1892,0.68279,-6.8218
-0.88105,-0.4667,1.9565,9.2724
2.2527,-0.18469,-1.2324,3.8574
0.16065,-1.4866,-1.0682,-6.8056
-1.2616,1.8477,-1.8729,-1.7582
-0.31362,0.4897,0.14287,5.7323
0.84544,-2.3849,1.6038,5.0157
0.23848,1.9971,-1.0011,7.6984
0.54527,-0.23527,1.4384,11.887
1.8157,-2.2099,-0.31494,-0.96714
-0.59652,-1.9687,0.2527,-4.4007
1.2448,2.4921,2.4306,29.856
-1.7165,1.8316,0.9489,10.922
-2.2094,0.57603,2.3507,11.429
-0.80147,-2.3653,-2.0202,-17.966
1.5859,-0.88739,1.9905,15.16
-0.61226,-0.18112,-2.2078,-9.6002
2.363,-2.0049,-1.8834,-6.3476
0.52659,0.35494,0.65363,10.268
-0.80882,-0.87062,-0.64948,-5.1563
2.1399,-0.24754,-0.90214,4.9189
1.9921,0.38922,1.4785,18.926
1.7535,-2.1258,-0.99148,-4.1999
-1.216,-2.2133,0.53731,-5.8147
-1.0725,-0.99522,-0.19014,-4.1491
1.3997,0.10861,-1.037,3.4484
1.007,0.3094,1.6621,16.569
-0.037441,-1.2922,0.35263,0.48192
2.3383,2.0636,-2.1475,8.5321
-0.11919,1.6287,-1.1684,4.3149
2.4745,-0.27727,-1.6456,2.0864
-0.047107,2.4103,0.30154,15.008
0.017267,0.39134,-1.4895,-1.8306
1.3439,-1.3279,-0.038156,2.5293
-0.55958,1.553,1.1468,14.267
-0.2337,-0.24363,2.275,13.699
-1.8357,-1.2502,1.3118,0.051401
1.2925,2.2772,-2.0997,6.488
0.32618,-1.7867,2.1912,8.7877
0.74318,0.062817,2.3724,18.343
1.4903,2.3596,0.53555,20.587
-1.3978,0.7416,2.2875,14.211
1.7895,0.57336,-0.84675,7.428
2.0236,-0.15175,2.0061,19.494
-1.0399,0.3889,-2.4982,-10.055
1.1293,2.0566,-0.0836,15.196
-0.80277,-0.6189,-1.7626,-9.697
-1.1366,-1.3562,-0.92504,-9.4597
-1.6486,-0.38238,-1.6431,-10.691
0.82009,-1.132,0.46453,4.2549
0.17926,-0.27717,0.78804,7.3693
1.6455,0.63758,-0.75519,7.711
-1.1632,0.17321,-2.2315,-9.9544
-1.6192,-0.57279,-2.2642,-14.47
-0.34407,1.8673,-2.2207,-0.66676
-0.12172,-0.99826,-2.1424,-11.07
